Order ID,Order Date,CustomerName,State,City,Age 
B-25690,15-06-2018,Gunjan,Madhya Pradesh,Indore,26
B-25691,16-06-2018,Akancha,Maharashtra,Mumbai,18
B-25692,17-06-2018,Rashmi,Madhya Pradesh,Indore,31
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal,33
B-25694,18-06-2018,Subhasmita,Rajasthan,Jaipur,38
B-25695,18-06-2018,Suhani,West Bengal,Kolkata,38
B-25696,21-06-2018,Noopur,Karnataka,Bangalore,18
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir,32
B-25698,23-06-2018,Amisha,Tamil Nadu,Chennai,18
B-25699,24-06-2018,Kritika,Uttar Pradesh,Lucknow,44
B-25700,25-06-2018,Shubhi,Maharashtra,Mumbai,45
B-25701,26-06-2018,Maithilee,Madhya Pradesh,Indore,19
B-25702,27-06-2018,Shaily,Maharashtra,Mumbai,36
B-25703,28-06-2018,Ekta,Madhya Pradesh,Indore,32
B-25704,29-06-2018,Riya,Maharashtra,Mumbai,46
B-25705,30-06-2018,Shweta,Madhya Pradesh,Indore,43
B-25706,01-07-2018,Swetlana,Goa,Goa,44
B-25707,01-07-2018,Shivani,Maharashtra,Mumbai,39
B-25708,01-07-2018,Kishwar,Madhya Pradesh,Indore,33
B-25709,01-07-2018,Aakanksha,Madhya Pradesh,Indore,34
B-25710,05-07-2018,Megha,Maharashtra,Pune,37
B-25711,06-07-2018,Sakshi,Madhya Pradesh,Bhopal,49
B-25712,07-07-2018,Adhvaita,Rajasthan,Jaipur,45
B-25713,08-07-2018,Raksha,West Bengal,Kolkata,33
B-25714,09-07-2018,Stuti,Karnataka,Bangalore,23
B-25715,10-07-2018,Srishti,Jammu and Kashmir,Kashmir,33
B-25716,11-07-2018,Surabhi,Tamil Nadu,Chennai,24
B-25717,12-07-2018,Manshul,Uttar Pradesh,Lucknow,18
B-25718,12-07-2018,Anjali,Maharashtra,Mumbai,16
B-25719,12-07-2018,Rashmi,Madhya Pradesh,Indore,27
B-25720,15-07-2018,Namrata,Punjab,Chandigarh,21
B-25721,16-07-2018,Anchal,Haryana,Chandigarh,36
B-25722,17-07-2018,Inderpreet,Himachal Pradesh,Simla,31
B-25723,18-07-2018,Wale,Maharashtra,Mumbai,30
B-25724,19-07-2018,Sheetal,Madhya Pradesh,Indore,41
B-25725,20-07-2018,Anisha,Nagaland,Kohima,37
B-25726,21-07-2018,Kiran,Maharashtra,Mumbai,33
B-25727,22-07-2018,Turumella,Madhya Pradesh,Indore,21
B-25728,22-07-2018,Ameesha,Maharashtra,Pune,15
B-25729,22-07-2018,Madhulika,Madhya Pradesh,Bhopal,17
B-25730,22-07-2018,Rishabh,Rajasthan,Jaipur,38
B-25731,26-07-2018,Akash,West Bengal,Kolkata,42
B-25732,27-07-2018,Anubhaw,Karnataka,Bangalore,40
B-25733,28-07-2018,Dhirajendu,Maharashtra,Mumbai,42
B-25734,29-07-2018,Pranav,Madhya Pradesh,Indore,18
B-25735,30-07-2018,Arindam,Uttar Pradesh,Lucknow,35
B-25736,31-07-2018,Akshat,Maharashtra,Mumbai,43
B-25737,01-08-2018,Shubham,Madhya Pradesh,Indore,44
B-25738,02-08-2018,Ayush,Punjab,Chandigarh,42
B-25739,03-08-2018,Daksh,Haryana,Chandigarh,16
B-25740,03-08-2018,Rane,Maharashtra,Mumbai,20
B-25741,03-08-2018,Navdeep,Madhya Pradesh,Indore,16
B-25742,03-08-2018,Ashwin,Goa,Goa,21
B-25743,07-08-2018,Aman,Nagaland,Kohima,42
B-25744,08-08-2018,Devendra,Andhra Pradesh,Hyderabad,48
B-25745,09-08-2018,Kartik,Gujarat,Ahmedabad,31
B-25746,10-08-2018,Shivam,Maharashtra,Pune,45
B-25747,11-08-2018,Harsh,Madhya Pradesh,Bhopal,29
B-25748,12-08-2018,Nitant,Rajasthan,Jaipur,32
B-25749,13-08-2018,Ayush,Maharashtra,Mumbai,33
B-25750,14-08-2018,Priyanshu,Madhya Pradesh,Indore,30
B-25751,14-08-2018,Nishant,Maharashtra,Mumbai,28
B-25752,14-08-2018,Vaibhav,Madhya Pradesh,Indore,39
B-25753,17-08-2018,Shivam,Uttar Pradesh,Lucknow,21
B-25754,18-08-2018,Akshay,Bihar,Patna,43
B-25755,19-08-2018,Shourya,Kerala ,Thiruvananthapuram,49
B-25756,20-08-2018,Mohan,Maharashtra,Mumbai,23
B-25757,21-08-2018,Mohit,Madhya Pradesh,Indore,18
B-25758,22-08-2018,Shubham,Himachal Pradesh,Simla,40
B-25759,23-08-2018,Soumya,Sikkim,Gangtok,19
B-25760,24-08-2018,Pooja,Goa,Goa,34
B-25761,25-08-2018,Surabhi,Maharashtra,Mumbai,20
B-25762,26-08-2018,Anudeep,Madhya Pradesh,Indore,44
B-25763,27-08-2018,Noshiba,Gujarat,Ahmedabad,17
B-25764,28-08-2018,Sanjova,Maharashtra,Pune,36
B-25765,29-08-2018,Meghana,Madhya Pradesh,Bhopal,38
B-25766,30-08-2018,Surabhi,Rajasthan,Jaipur,42
B-25767,31-08-2018,Ashmeet,West Bengal,Kolkata,45
B-25768,01-09-2018,Shreyoshe,Karnataka,Bangalore,49
B-25769,02-09-2018,Surbhi,Maharashtra,Mumbai,22
B-25770,02-09-2018,Sakshi,Madhya Pradesh,Indore,48
B-25771,02-09-2018,Vaibhavi,Uttar Pradesh,Lucknow,39
B-25772,02-09-2018,Sanjana,Bihar,Patna,37
B-25773,06-09-2018,Shreya,Kerala ,Thiruvananthapuram,17
B-25774,07-09-2018,Snehal,Punjab,Chandigarh,20
B-25775,08-09-2018,Duhita,Haryana,Chandigarh,36
B-25776,09-09-2018,Mousam,Maharashtra,Mumbai,43
B-25777,10-09-2018,Aditi,Madhya Pradesh,Indore,30
B-25778,11-09-2018,Surabhi,Maharashtra,Mumbai,36
B-25779,12-09-2018,Savi,Madhya Pradesh,Indore,48
B-25780,13-09-2018,Teena,Andhra Pradesh,Hyderabad,18
B-25781,14-09-2018,Rutuja,Gujarat,Ahmedabad,28
B-25782,15-09-2018,Aayushi,Maharashtra,Mumbai,24
B-25783,15-09-2018,Shivangi,Madhya Pradesh,Indore,38
B-25784,15-09-2018,Rohit,Rajasthan,Jaipur,16
B-25785,15-09-2018,Ayush,West Bengal,Kolkata,33
B-25786,19-09-2018,Abhishek,Karnataka,Bangalore,28
B-25787,20-09-2018,Asish,Jammu and Kashmir,Kashmir,29
B-25788,21-09-2018,Dinesh,Tamil Nadu,Chennai,31
B-25789,22-09-2018,Akshay,Uttar Pradesh,Lucknow,48
B-25790,23-09-2018,Sajal,Bihar,Patna,38
B-25791,24-09-2018,Avish,Kerala ,Thiruvananthapuram,25
B-25792,24-09-2018,Abhishek,Maharashtra,Mumbai,34
B-25793,24-09-2018,Siddharth,Madhya Pradesh,Indore,49
B-25794,24-09-2018,Aditya,Himachal Pradesh,Simla,48
B-25795,24-09-2018,Sukant,Sikkim,Gangtok,34
B-25796,24-09-2018,Sukrith,Maharashtra,Mumbai,27
B-25797,30-09-2018,Sauptik,Madhya Pradesh,Indore,15
B-25798,01-10-2018,Shishu,Andhra Pradesh,Hyderabad,33
B-25799,01-10-2018,Divyansh,Gujarat,Ahmedabad,39
B-25800,01-10-2018,Ishit,Maharashtra,Pune,25
B-25801,01-10-2018,Aryan,Madhya Pradesh,Bhopal,32
B-25802,05-10-2018,Yash,Maharashtra,Mumbai,48
B-25803,05-10-2018,Shivanshu,Madhya Pradesh,Indore,33
B-25804,05-10-2018,Sudheer,Karnataka,Bangalore,15
B-25805,05-10-2018,Ankit,Maharashtra,Mumbai,18
B-25806,06-10-2018,Dhanraj,Madhya Pradesh,Indore,48
B-25807,07-10-2018,Vipul,Uttar Pradesh,Lucknow,15
B-25808,08-10-2018,Apsingekar,Bihar,Patna,31
B-25809,09-10-2018,Suman,Kerala ,Thiruvananthapuram,16
B-25810,10-10-2018,Nripraj,Punjab,Chandigarh,24
B-25811,10-10-2018,Utsav,Maharashtra,Mumbai,42
B-25812,10-10-2018,Kshitij,Madhya Pradesh,Indore,22
B-25813,10-10-2018,Hrisheekesh,Maharashtra,Mumbai,18
B-25814,10-10-2018,Swapnil,Madhya Pradesh,Indore,49
B-25815,10-10-2018,Harsh,Nagaland,Kohima,45
B-25816,12-10-2018,Mane,Andhra Pradesh,Hyderabad,18
B-25817,13-10-2018,Praneet,Maharashtra,Mumbai,46
B-25818,14-10-2018,Sandeep,Madhya Pradesh,Indore,15
B-25819,15-10-2018,Ankur,Madhya Pradesh,Bhopal,42
B-25820,16-10-2018,Dheeraj,Rajasthan,Jaipur,27
B-25821,16-10-2018,Ajay,West Bengal,Kolkata,44
B-25822,18-10-2018,Tejas,Karnataka,Bangalore,26
B-25823,18-10-2018,Rohan,Maharashtra,Mumbai,36
B-25824,20-10-2018,Shyam,Madhya Pradesh,Indore,31
B-25825,21-10-2018,Kartik,Madhya Pradesh,Indore,21
B-25826,22-10-2018,Tanushree,Maharashtra,Mumbai,49
B-25827,23-10-2018,Sheetal,Madhya Pradesh,Indore,19
B-25828,24-10-2018,Nikita,Punjab,Chandigarh,37
B-25829,25-10-2018,Apoorva,Haryana,Chandigarh,17
B-25830,26-10-2018,Aastha,Himachal Pradesh,Simla,35
B-25831,27-10-2018,Mahima,Sikkim,Gangtok,49
B-25832,28-10-2018,Harshita,Maharashtra,Mumbai,45
B-25833,29-10-2018,Krishna,Madhya Pradesh,Indore,31
B-25834,29-10-2018,Ananya,Andhra Pradesh,Hyderabad,20
B-25835,29-10-2018,Moumita,Gujarat,Ahmedabad,32
B-25836,29-10-2018,Arti,Maharashtra,Pune,18
B-25837,29-10-2018,Palak,Maharashtra,Mumbai,31
B-25838,29-10-2018,Sanjana,Madhya Pradesh,Indore,22
B-25839,30-10-2018,Pranjali,West Bengal,Kolkata,47
B-25840,31-10-2018,Sneha,Karnataka,Bangalore,27
B-25841,01-11-2018,Ashvini,Maharashtra,Mumbai,42
B-25842,02-11-2018,Sheetal,Madhya Pradesh,Indore,18
B-25843,03-11-2018,Mrunal,Maharashtra,Mumbai,45
B-25844,03-11-2018,Swati,Madhya Pradesh,Indore,27
B-25845,03-11-2018,Snel,Kerala ,Thiruvananthapuram,36
B-25846,03-11-2018,Soodesh,Punjab,Chandigarh,26
B-25847,03-11-2018,Aniket,Haryana,Chandigarh,28
B-25848,03-11-2018,Rohan,Himachal Pradesh,Simla,50
B-25849,04-11-2018,K,Sikkim,Gangtok,26
B-25850,05-11-2018,Abhishek,Goa,Goa,23
B-25851,06-11-2018,Kushal,Nagaland,Kohima,40
B-25852,07-11-2018,Soumyabrata,Andhra Pradesh,Hyderabad,49
B-25853,08-11-2018,Gaurav,Gujarat,Ahmedabad,28
B-25854,08-11-2018,Shubham,Maharashtra,Pune,20
B-25855,08-11-2018,Abhijeet,Madhya Pradesh,Bhopal,44
B-25856,10-11-2018,Abhijeet,Maharashtra,Mumbai,40
B-25857,10-11-2018,Anand,Madhya Pradesh,Indore,28
B-25858,13-11-2018,Swapnil,Maharashtra,Mumbai,18
B-25859,14-11-2018,Chikku,Madhya Pradesh,Indore,24
B-25860,15-11-2018,Akshay,Tamil Nadu,Chennai,36
B-25861,15-11-2018,Aayush,Uttar Pradesh,Lucknow,18
B-25862,15-11-2018,Amol,Bihar,Patna,23
B-25863,15-11-2018,Manibalan,Kerala ,Thiruvananthapuram,15
B-25864,15-11-2018,Aromal,Maharashtra,Mumbai,47
B-25865,15-11-2018,Arun,Madhya Pradesh,Indore,42
B-25866,16-11-2018,Komal,Himachal Pradesh,Simla,29
B-25867,17-11-2018,Ankit,Sikkim,Gangtok,23
B-25868,18-11-2018,Vikash,Goa,Goa,45
B-25869,19-11-2018,Parakh,Nagaland,Kohima,39
B-25870,20-11-2018,Pranav,Andhra Pradesh,Hyderabad,25
B-25871,21-11-2018,Gunjal,Gujarat,Surat,37
B-25872,22-11-2018,Saurabh,Maharashtra,Mumbai,31
B-25873,23-11-2018,Divyeta,Madhya Pradesh,Indore,38
B-25874,24-11-2018,Megha,Rajasthan,Udaipur,38
B-25875,24-11-2018,Divyeshkumar,Uttar Pradesh,Allahabad,32
B-25876,24-11-2018,Bhosale,Punjab,Amritsar,40
B-25877,24-11-2018,Dashyam,Gujarat,Surat,44
B-25878,24-11-2018,Mrinal,Maharashtra,Mumbai,25
B-25879,24-11-2018,Siddharth,Madhya Pradesh,Indore,36
B-25880,24-11-2018,Apoorv,Rajasthan,Udaipur,19
B-25881,25-11-2018,Pooja,Uttar Pradesh,Allahabad,35
B-25882,26-11-2018,Masurkar,Punjab,Amritsar,46
B-25883,27-11-2018,Saptadeep,Gujarat,Surat,44
B-25884,28-11-2018,Sumeet,Maharashtra,Mumbai,22
B-25885,28-11-2018,Shatayu,Madhya Pradesh,Indore,34
B-25886,28-11-2018,Brijesh,Rajasthan,Udaipur,35
B-25887,01-12-2018,Vedant,Uttar Pradesh,Allahabad,39
B-25888,02-12-2018,Rohan,Punjab,Amritsar,46
B-25889,03-12-2018,Abhishek,Gujarat,Surat,27
B-25890,04-12-2018,Divyansha,Maharashtra,Mumbai,45
B-25891,04-12-2018,Shivani,Madhya Pradesh,Indore,36
B-25892,04-12-2018,Aditi,Rajasthan,Udaipur,18
B-25893,04-12-2018,Aashna,Uttar Pradesh,Allahabad,36
B-25894,04-12-2018,Monu,Punjab,Amritsar,43
B-25895,04-12-2018,Sathya,Gujarat,Surat,29
B-25896,05-12-2018,Aman,Maharashtra,Mumbai,44
B-25897,06-12-2018,Rohan,Madhya Pradesh,Indore,37
B-25898,07-12-2018,Abhishek,Rajasthan,Udaipur,36
B-25899,08-12-2018,Aishwarya,Uttar Pradesh,Allahabad,46
B-25900,09-12-2018,Anand,Punjab,Amritsar,49
B-25901,10-12-2018,Suraj,Gujarat,Surat,50
B-25902,10-12-2018,Ishpreet,Maharashtra,Mumbai,50
B-25903,10-12-2018,Amlan,Madhya Pradesh,Indore,50
B-25904,10-12-2018,Swapnil,Delhi,Delhi,16
B-25905,11-12-2018,Bhargav,Madhya Pradesh,Delhi,46
B-25906,11-12-2018,Abhijit,Delhi,Delhi,39
B-25907,11-12-2018,Jaydeep,Madhya Pradesh,Bhopal,36
B-25908,12-12-2018,Pradeep,Delhi,Delhi,44
B-25909,13-12-2018,Sujay,Madhya Pradesh,Delhi,46
B-25910,14-12-2018,Jay,Delhi,Delhi,32
B-25911,15-12-2018,Phalguni,Madhya Pradesh,Bhopal,26
B-25912,16-12-2018,Preksha,Delhi,Delhi,44
B-25913,17-12-2018,Geetanjali,Madhya Pradesh,Delhi,45
B-25914,18-12-2018,Kajal,Delhi,Delhi,45
B-25915,19-12-2018,Sukruta,Punjab,Amritsar,17
B-25916,20-12-2018,Utkarsh,Gujarat,Surat,36
B-25917,21-12-2018,Sanjay,Maharashtra,Mumbai,23
B-25918,22-12-2018,Karandeep,Madhya Pradesh,Indore,46
B-25919,23-12-2018,Neha,Rajasthan,Udaipur,40
B-25920,24-12-2018,Jayanti,Uttar Pradesh,Allahabad,16
B-25921,25-12-2018,Sandra,Punjab,Amritsar,49
B-25922,26-12-2018,Akshata,Gujarat,Surat,15
B-25923,27-12-2018,Vishakha,Maharashtra,Mumbai,36
B-25924,28-12-2018,Prajakta,Karnataka,Bangalore,36
B-25925,29-12-2018,Shruti,Maharashtra,Mumbai,37
B-25926,30-12-2018,Dipali,Madhya Pradesh,Indore,29
B-25927,31-12-2018,Shreya,Uttar Pradesh,Lucknow,47
B-25928,01-01-2019,Smriti,Bihar,Patna,37
B-25929,02-01-2019,Girase,Kerala ,Thiruvananthapuram,34
B-25930,03-01-2019,Monica,Punjab,Chandigarh,36
B-25931,04-01-2019,Sidharth,Maharashtra,Mumbai,20
B-25932,04-01-2019,Bhutekar,Madhya Pradesh,Indore,19
B-25933,04-01-2019,Shikhar,Maharashtra,Mumbai,41
B-25934,04-01-2019,Rahul,Madhya Pradesh,Indore,22
B-25935,04-01-2019,Sudhir,Nagaland,Kohima,45
B-25936,05-01-2019,Nikhil,Punjab,Chandigarh,35
B-25937,05-01-2019,Ankit,Haryana,Chandigarh,43
B-25938,05-01-2019,Shikhar,Himachal Pradesh,Simla,31
B-25939,05-01-2019,Vineet,Sikkim,Gangtok,35
B-25940,06-01-2019,Vivek,Goa,Goa,33
B-25941,07-01-2019,Jaideep,Nagaland,Kohima,18
B-25942,08-01-2019,Ankur,Andhra Pradesh,Hyderabad,27
B-25943,09-01-2019,Shardul,Gujarat,Ahmedabad,41
B-25944,10-01-2019,Syed,Maharashtra,Pune,23
B-25945,11-01-2019,Mhatre,Madhya Pradesh,Indore,19
B-25946,12-01-2019,Saurabh,Andhra Pradesh,Hyderabad,29
B-25947,13-01-2019,Chetan,Gujarat,Ahmedabad,18
B-25948,13-01-2019,Mukund,Maharashtra,Pune,15
B-25949,13-01-2019,Shantanu,Maharashtra,Mumbai,40
B-25950,13-01-2019,Shruti,Madhya Pradesh,Indore,32
B-25951,13-01-2019,Jesal,West Bengal,Kolkata,48
B-25952,13-01-2019,Priyanka,Madhya Pradesh,Indore,17
B-25953,14-01-2019,Krutika,Andhra Pradesh,Hyderabad,44
B-25954,14-01-2019,Trupti,Gujarat,Ahmedabad,41
B-25955,16-01-2019,Soumya,Maharashtra,Pune,30
B-25956,17-01-2019,Shreya,Maharashtra,Mumbai,50
B-25957,18-01-2019,Mahima,Madhya Pradesh,Indore,47
B-25958,18-01-2019,Aparajita,West Bengal,Kolkata,35
B-25959,18-01-2019,Muskan,Madhya Pradesh,Indore,21
B-25960,18-01-2019,Shreya,Andhra Pradesh,Hyderabad,32
B-25961,18-01-2019,Surbhi,Gujarat,Ahmedabad,35
B-25962,19-01-2019,Tejeswini,Maharashtra,Pune,43
B-25963,19-01-2019,Pratiksha,Maharashtra,Mumbai,39
B-25964,20-01-2019,Oshin,Madhya Pradesh,Indore,37
B-25965,21-01-2019,Saloni,West Bengal,Kolkata,47
B-25966,21-01-2019,Soumya,Rajasthan,Udaipur,29
B-25967,21-01-2019,Komal,Uttar Pradesh,Allahabad,36
B-25968,21-01-2019,Paromita,Punjab,Amritsar,46
B-25969,21-01-2019,Shreyshi,Gujarat,Surat,19
B-25970,22-01-2019,Rhea,Maharashtra,Mumbai,45
B-25971,22-01-2019,Mitali,Madhya Pradesh,Indore,26
B-25972,23-01-2019,Jesslyn,Rajasthan,Udaipur,40
B-25973,24-01-2019,Seema,Uttar Pradesh,Allahabad,41
B-25974,25-01-2019,Manisha,Rajasthan,Udaipur,36
B-25975,25-01-2019,Priyanka,Uttar Pradesh,Allahabad,36
B-25976,25-01-2019,Piyam,Punjab,Amritsar,20
B-25977,27-01-2019,Aayushi,Gujarat,Surat,41
B-25978,27-01-2019,Parin,Maharashtra,Mumbai,19
B-25979,27-01-2019,Shivangi,Madhya Pradesh,Indore,25
B-25980,27-01-2019,Shweta,Rajasthan,Udaipur,50
B-25981,28-01-2019,Amruta,Delhi,Delhi,42
B-25982,29-01-2019,Hemangi,Delhi,Delhi,38
B-25983,30-01-2019,Atul,Delhi,Delhi,21
B-25984,30-01-2019,Kajal,Delhi,Delhi,39
B-25985,31-01-2019,Ginny,Madhya Pradesh,Indore,37
B-25986,31-01-2019,Shweta,Rajasthan,Udaipur,20
B-25987,31-01-2019,Manjiri,Delhi,Delhi,27
B-25988,31-01-2019,Nirja,Delhi,Delhi,50
B-25989,01-02-2019,Anjali,Delhi,Delhi,23
B-25990,02-02-2019,Mugdha,Delhi,Delhi,41
B-25991,03-02-2019,Mansi,Madhya Pradesh,Indore,27
B-25992,03-02-2019,Gaurav,Rajasthan,Udaipur,43
B-25993,03-02-2019,Harshal,Delhi,Delhi,48
B-25994,03-02-2019,Omkar,Delhi,Delhi,43
B-25995,04-02-2019,Yohann,Delhi,Delhi,39
B-25996,04-02-2019,Prashant,Delhi,Delhi,48
B-25997,04-02-2019,Yogesh,Madhya Pradesh,Indore,40
B-25998,04-02-2019,Anmol,Rajasthan,Udaipur,24
B-25999,05-02-2019,Diwakar,Delhi,Delhi,48
B-26000,06-02-2019,Shubham,Delhi,Delhi,47
B-26001,07-02-2019,Patil,Delhi,Delhi,29
B-26002,08-02-2019,Harsh,Delhi,Delhi,33
B-26003,08-02-2019,Hitesh,Madhya Pradesh,Bhopal,24
B-26004,08-02-2019,Nandita,Rajasthan,Jaipur,45
B-26005,08-02-2019,Parnavi,West Bengal,Kolkata,22
B-26006,09-02-2019,Arpita,Karnataka,Bangalore,35
B-26007,09-02-2019,Shubham,Jammu and Kashmir,Kashmir,22
B-26008,09-02-2019,Kalyani,Tamil Nadu,Chennai,40
B-26009,10-02-2019,Komal,Uttar Pradesh,Lucknow,31
B-26010,11-02-2019,Kartikay,Bihar,Patna,17
B-26011,12-02-2019,Bharat,Gujarat,Ahmedabad,17
B-26012,13-02-2019,Pearl,Maharashtra,Pune,18
B-26013,13-02-2019,Jahan,Madhya Pradesh,Bhopal,17
B-26014,13-02-2019,Divsha,Rajasthan,Jaipur,21
B-26015,14-02-2019,Kasheen,West Bengal,Kolkata,48
B-26016,14-02-2019,Hazel,Karnataka,Bangalore,48
B-26017,14-02-2019,Sonakshi,Jammu and Kashmir,Kashmir,18
B-26018,14-02-2019,Aarushi,Tamil Nadu,Chennai,18
B-26019,15-02-2019,Jitesh,Uttar Pradesh,Lucknow,18
B-26020,16-02-2019,Yogesh,Bihar,Patna,33
B-26021,17-02-2019,Anita,Kerala ,Thiruvananthapuram,34
B-26022,18-02-2019,Shrichand,Punjab,Chandigarh,48
B-26023,19-02-2019,Mukesh,Haryana,Chandigarh,18
B-26024,19-02-2019,Vandana,Himachal Pradesh,Simla,33
B-26025,19-02-2019,Bhavna,Sikkim,Gangtok,27
B-26026,19-02-2019,Kanak,Goa,Goa,36
B-26027,20-02-2019,Sagar,Nagaland,Kohima,48
B-26028,20-02-2019,Manju,Andhra Pradesh,Hyderabad,47
B-26029,20-02-2019,Ramesh,Gujarat,Ahmedabad,26
B-26030,21-02-2019,Sarita,Maharashtra,Pune,37
